"GFH05524"	"HaLaN_00001"
"GFH05574"	"HaLaN_00057"
"GFH05575"	"HaLaN_00058"
"HaLaN_00060"	"HaLaN_00059"
"GFH05576"	"HaLaN_00060"
"GFH05577"	"HaLaN_00061"
"GFH05578"	"HaLaN_00062"
"GFH05579"	"HaLaN_00063"
"GFH05580"	"HaLaN_00064"
"GFH05581"	"HaLaN_00065"
"GFH05582"	"HaLaN_00066"
"HaLaN_00068"	"HaLaN_00067"
"GFH05583"	"HaLaN_00068"
"HaLaN_00070"	"HaLaN_00069"
"GFH05584"	"HaLaN_00070"
"GFH05585"	"HaLaN_00071"
"GFH05586"	"HaLaN_00072"
"HaLaN_00074"	"HaLaN_00073"
"GFH05587"	"HaLaN_00074"
"GFH05588"	"HaLaN_00075"
"GFH05589"	"HaLaN_00076"
"GFH05590"	"HaLaN_00077"
"GFH05591"	"HaLaN_00078"
"GFH05592"	"HaLaN_00079"
"GFH05593"	"HaLaN_00080"
"GFH05594"	"HaLaN_00081"
"GFH05595"	"HaLaN_00082"
"HaLaN_00084"	"HaLaN_00083"
"GFH05596"	"HaLaN_00084"
"GFH05597"	"HaLaN_00085"
"GFH05598"	"HaLaN_00086"
"GFH05599"	"HaLaN_00087"
"GFH05600"	"HaLaN_00088"
"GFH05601"	"HaLaN_00089"
"GFH05602"	"HaLaN_00090"
"GFH05603"	"HaLaN_00091"
"HaLaN_00093"	"HaLaN_00092"
"GFH05604"	"HaLaN_00093"
"GFH05605"	"HaLaN_00094"
"GFH05606"	"HaLaN_00095"
"HaLaN_00097"	"HaLaN_00096"
"GFH05607"	"HaLaN_00097"
"GFH05608"	"HaLaN_00098"
"HaLaN_00100"	"HaLaN_00099"
"HaLaN_00101"	"HaLaN_00100"
"GFH05609"	"HaLaN_00101"
"GFH05610"	"HaLaN_00102"
"GFH05611"	"HaLaN_00103"
"GFH05612"	"HaLaN_00104"
"HaLaN_00106"	"HaLaN_00105"
"GFH05613"	"HaLaN_00106"
"GFH05614"	"HaLaN_00107"
"HaLaN_00109"	"HaLaN_00108"
"GFH05615"	"HaLaN_00109"
"HaLaN_00111"	"HaLaN_00110"
"GFH05616"	"HaLaN_00111"
"GFH05617"	"HaLaN_00112"
"HaLaN_00114"	"HaLaN_00113"
"HaLaN_00115"	"HaLaN_00114"
"GFH05618"	"HaLaN_00115"
"GFH05619"	"HaLaN_00116"
"GFH05620"	"HaLaN_00117"
"GFH05621"	"HaLaN_00118"
"GFH05622"	"HaLaN_00119"
"GFH05623"	"HaLaN_00120"
"GFH05624"	"HaLaN_00121"
"GFH05625"	"HaLaN_00122"
"HaLaN_00124"	"HaLaN_00123"
"GFH05626"	"HaLaN_00124"
"HaLaN_00126"	"HaLaN_00125"
"GFH05627"	"HaLaN_00126"
"GFH05628"	"HaLaN_00127"
"GFH05629"	"HaLaN_00128"
"GFH05630"	"HaLaN_00129"
"GFH05631"	"HaLaN_00130"
"GFH05632"	"HaLaN_00131"
"GFH05633"	"HaLaN_00132"
"GFH05634"	"HaLaN_00133"
"GFH05635"	"HaLaN_00134"
"GFH05636"	"HaLaN_00135"
"GFH05637"	"HaLaN_00136"
"GFH05638"	"HaLaN_00137"
"GFH05639"	"HaLaN_00138"
"GFH05640"	"HaLaN_00139"
"GFH05641"	"HaLaN_00140"
"GFH05642"	"HaLaN_00141"
"GFH05643"	"HaLaN_00142"
"GFH05644"	"HaLaN_00143"
"GFH05645"	"HaLaN_00144"
"GFH05646"	"HaLaN_00145"
"GFH05647"	"HaLaN_00146"
"GFH05648"	"HaLaN_00147"
"GFH05649"	"HaLaN_00148"
"GFH05650"	"HaLaN_00149"
"GFH05651"	"HaLaN_00150"
"GFH05652"	"HaLaN_00151"
"GFH05653"	"HaLaN_00152"
"GFH05654"	"HaLaN_00153"
"GFH05655"	"HaLaN_00154"
"GFH05656"	"HaLaN_00155"
"GFH05657"	"HaLaN_00156"
"GFH05658"	"HaLaN_00157"
"GFH05659"	"HaLaN_00158"
"GFH05660"	"HaLaN_00159"
"GFH05661"	"HaLaN_00160"
"GFH05662"	"HaLaN_00161"
"GFH05663"	"HaLaN_00162"
"GFH05664"	"HaLaN_00163"
"GFH05665"	"HaLaN_00164"
"GFH05666"	"HaLaN_00165"
"GFH05667"	"HaLaN_00166"
"GFH05668"	"HaLaN_00167"
"GFH05669"	"HaLaN_00168"
"GFH05670"	"HaLaN_00169"
"GFH05671"	"HaLaN_00170"
"GFH05672"	"HaLaN_00171"
"GFH05673"	"HaLaN_00172"
"GFH05674"	"HaLaN_00173"
"GFH05675"	"HaLaN_00174"
"GFH05676"	"HaLaN_00175"
"GFH05677"	"HaLaN_00176"
"GFH05678"	"HaLaN_00177"
"GFH05679"	"HaLaN_00178"
"GFH05680"	"HaLaN_00179"
"GFH05681"	"HaLaN_00180"
"GFH05682"	"HaLaN_00181"
"GFH05683"	"HaLaN_00182"
"GFH05684"	"HaLaN_00183"
"GFH05685"	"HaLaN_00184"
"GFH05686"	"HaLaN_00185"
"GFH05687"	"HaLaN_00186"
"HaLaN_00188"	"HaLaN_00187"
"GFH05688"	"HaLaN_00188"
"GFH05689"	"HaLaN_00189"
"GFH05690"	"HaLaN_00190"
"GFH05691"	"HaLaN_00191"
"GFH05692"	"HaLaN_00192"
"GFH05693"	"HaLaN_00193"
"HaLaN_00195"	"HaLaN_00194"
"GFH05694"	"HaLaN_00195"
"GFH05695"	"HaLaN_00196"
"GFH05696"	"HaLaN_00197"
"HaLaN_00199"	"HaLaN_00198"
"HaLaN_00200"	"HaLaN_00199"
"GFH05697"	"HaLaN_00200"
"GFH05698"	"HaLaN_00201"
"GFH05699"	"HaLaN_00202"
"GFH05700"	"HaLaN_00203"
"GFH05701"	"HaLaN_00204"
"GFH05702"	"HaLaN_00205"
"GFH05703"	"HaLaN_00206"
"GFH05704"	"HaLaN_00207"
"GFH05705"	"HaLaN_00208"
"GFH05706"	"HaLaN_00209"
"GFH05707"	"HaLaN_00210"
"GFH05708"	"HaLaN_00211"
"GFH05709"	"HaLaN_00212"
"GFH05710"	"HaLaN_00213"
"GFH05711"	"HaLaN_00214"
"GFH05712"	"HaLaN_00215"
"GFH05713"	"HaLaN_00216"
"GFH05714"	"HaLaN_00217"
"GFH05715"	"HaLaN_00218"
"HaLaN_00220"	"HaLaN_00219"
"GFH05716"	"HaLaN_00220"
"GFH05717"	"HaLaN_00221"
"GFH05718"	"HaLaN_00222"
"GFH05719"	"HaLaN_00223"
"GFH05720"	"HaLaN_00224"
"GFH05721"	"HaLaN_00225"
"GFH05722"	"HaLaN_00226"
"GFH05723"	"HaLaN_00227"
"HaLaN_00229"	"HaLaN_00228"
"HaLaN_00230"	"HaLaN_00229"
"HaLaN_00231"	"HaLaN_00230"
"GFH05724"	"HaLaN_00231"
"GFH05725"	"HaLaN_00232"
"GFH05726"	"HaLaN_00233"
"GFH05727"	"HaLaN_00234"
"HaLaN_00236"	"HaLaN_00235"
"GFH05728"	"HaLaN_00236"
"GFH05729"	"HaLaN_00237"
"GFH05730"	"HaLaN_00238"
"GFH05731"	"HaLaN_00239"
"GFH05732"	"HaLaN_00240"
"GFH05733"	"HaLaN_00241"
"HaLaN_00243"	"HaLaN_00242"
"HaLaN_00244"	"HaLaN_00243"
"GFH05734"	"HaLaN_00244"
"GFH05735"	"HaLaN_00245"
"GFH05736"	"HaLaN_00246"
"GFH05737"	"HaLaN_00247"
"GFH05738"	"HaLaN_00248"
"GFH05739"	"HaLaN_00249"
"GFH05740"	"HaLaN_00250"
"GFH05741"	"HaLaN_00251"
"GFH05742"	"HaLaN_00252"
"GFH05743"	"HaLaN_00253"
"GFH05744"	"HaLaN_00254"
"GFH05745"	"HaLaN_00255"
"GFH05746"	"HaLaN_00256"
"GFH05747"	"HaLaN_00257"
"GFH05748"	"HaLaN_00258"
"HaLaN_00260"	"HaLaN_00259"
"GFH05749"	"HaLaN_00260"
"GFH05750"	"HaLaN_00261"
"GFH05751"	"HaLaN_00262"
"GFH05752"	"HaLaN_00263"
"GFH05753"	"HaLaN_00264"
"HaLaN_00266"	"HaLaN_00265"
"HaLaN_00267"	"HaLaN_00266"
"GFH05754"	"HaLaN_00267"
"GFH05755"	"HaLaN_00268"
"GFH05756"	"HaLaN_00269"
"HaLaN_t00003"	"HaLaN_t00003"
"HaLaN_t00004"	"HaLaN_t00004"
"GFH05757"	"HaLaN_00270"
"HaLaN_t00005"	"HaLaN_t00005"
"GFH05758"	"HaLaN_00271"
"GFH05759"	"HaLaN_00272"
"HaLaN_00274"	"HaLaN_00273"
"GFH05760"	"HaLaN_00274"
"GFH05761"	"HaLaN_00275"
"GFH05762"	"HaLaN_00276"
"GFH05763"	"HaLaN_00277"
"GFH05764"	"HaLaN_00278"
"HaLaN_00280"	"HaLaN_00279"
"GFH05765"	"HaLaN_00280"
"GFH05766"	"HaLaN_00281"
"HaLaN_00283"	"HaLaN_00282"
"GFH05767"	"HaLaN_00283"
"GFH05768"	"HaLaN_00284"
"GFH05769"	"HaLaN_00285"
"GFH05770"	"HaLaN_00286"
"HaLaN_00288"	"HaLaN_00287"
"GFH05771"	"HaLaN_00288"
"GFH05772"	"HaLaN_00289"
"GFH05773"	"HaLaN_00290"
"GFH05774"	"HaLaN_00291"
"HaLaN_00293"	"HaLaN_00292"
"GFH05775"	"HaLaN_00293"
"GFH05776"	"HaLaN_00294"
"GFH05777"	"HaLaN_00295"
"HaLaN_00297"	"HaLaN_00296"
"HaLaN_00298"	"HaLaN_00297"
"HaLaN_00299"	"HaLaN_00298"
"GFH05778"	"HaLaN_00299"
"GFH05779"	"HaLaN_00300"
"GFH05780"	"HaLaN_00301"
"HaLaN_00303"	"HaLaN_00302"
"GFH05781"	"HaLaN_00303"
"GFH05782"	"HaLaN_00304"
"GFH05783"	"HaLaN_00305"
"GFH05784"	"HaLaN_00306"
"GFH05785"	"HaLaN_00307"
"GFH05786"	"HaLaN_00308"
"GFH05787"	"HaLaN_00309"
"GFH05788"	"HaLaN_00310"
"GFH05789"	"HaLaN_00311"
"GFH05790"	"HaLaN_00312"
"GFH05791"	"HaLaN_00313"
"GFH05792"	"HaLaN_00314"
"GFH05793"	"HaLaN_00315"
"GFH05794"	"HaLaN_00316"
"GFH05795"	"HaLaN_00317"
"GFH05796"	"HaLaN_00318"
"GFH05797"	"HaLaN_00319"
"HaLaN_00321"	"HaLaN_00320"
"GFH05798"	"HaLaN_00321"
"GFH05799"	"HaLaN_00322"
"HaLaN_00324"	"HaLaN_00323"
"GFH05800"	"HaLaN_00324"
"GFH05801"	"HaLaN_00325"
"GFH05802"	"HaLaN_00326"
"GFH05803"	"HaLaN_00327"
"GFH05804"	"HaLaN_00328"
"GFH05805"	"HaLaN_00329"
"GFH05806"	"HaLaN_00330"
"GFH05807"	"HaLaN_00331"
"GFH05808"	"HaLaN_00332"
"GFH05809"	"HaLaN_00333"
"GFH05810"	"HaLaN_00334"
"GFH05811"	"HaLaN_00335"
"HaLaN_00337"	"HaLaN_00336"
"GFH05812"	"HaLaN_00337"
"GFH05813"	"HaLaN_00338"
"HaLaN_00340"	"HaLaN_00339"
"HaLaN_00341"	"HaLaN_00340"
"GFH05814"	"HaLaN_00341"
"GFH05815"	"HaLaN_00342"
"GFH05816"	"HaLaN_00343"
"GFH05817"	"HaLaN_00344"
"GFH05818"	"HaLaN_00345"
"HaLaN_00347"	"HaLaN_00346"
"GFH05819"	"HaLaN_00347"
"GFH05820"	"HaLaN_00348"
"GFH05821"	"HaLaN_00349"
"GFH05822"	"HaLaN_00350"
"GFH05823"	"HaLaN_00351"
"GFH05824"	"HaLaN_00352"
"GFH05825"	"HaLaN_00353"
"GFH05826"	"HaLaN_00354"
"GFH05827"	"HaLaN_00355"
"GFH05828"	"HaLaN_00356"
"GFH05829"	"HaLaN_00357"
"GFH05830"	"HaLaN_00358"
"GFH05831"	"HaLaN_00359"
"GFH05832"	"HaLaN_00360"
"GFH05833"	"HaLaN_00361"
"HaLaN_00363"	"HaLaN_00362"
"GFH05834"	"HaLaN_00363"
"GFH05835"	"HaLaN_00364"
"GFH05836"	"HaLaN_00365"
"GFH05837"	"HaLaN_00366"
"HaLaN_00368"	"HaLaN_00367"
"GFH05838"	"HaLaN_00368"
"GFH05839"	"HaLaN_00369"
"GFH05840"	"HaLaN_00370"
"GFH05841"	"HaLaN_00371"
"GFH05842"	"HaLaN_00372"
"HaLaN_00374"	"HaLaN_00373"
"GFH05843"	"HaLaN_00374"
"GFH05844"	"HaLaN_00375"
"GFH05845"	"HaLaN_00376"
"GFH05846"	"HaLaN_00377"
"GFH05847"	"HaLaN_00378"
"GFH05848"	"HaLaN_00379"
"GFH05849"	"HaLaN_00380"
"GFH05850"	"HaLaN_00381"
"GFH05851"	"HaLaN_00382"
"GFH05852"	"HaLaN_00383"
"GFH05853"	"HaLaN_00384"
"GFH05854"	"HaLaN_00385"
"GFH05855"	"HaLaN_00386"
"GFH05856"	"HaLaN_00387"
"GFH05857"	"HaLaN_00388"
"GFH05858"	"HaLaN_00389"
"HaLaN_00391"	"HaLaN_00390"
"GFH05859"	"HaLaN_00391"
"GFH05860"	"HaLaN_00392"
"GFH05861"	"HaLaN_00393"
"HaLaN_00395"	"HaLaN_00394"
"GFH05862"	"HaLaN_00395"
"GFH05863"	"HaLaN_00396"
"GFH05864"	"HaLaN_00397"
"GFH05865"	"HaLaN_00398"
"GFH05866"	"HaLaN_00399"
"GFH05867"	"HaLaN_00400"
"HaLaN_00402"	"HaLaN_00401"
"GFH05868"	"HaLaN_00402"
"GFH05869"	"HaLaN_00403"
"GFH05870"	"HaLaN_00404"
"GFH05871"	"HaLaN_00405"
"GFH05872"	"HaLaN_00406"
"GFH05873"	"HaLaN_00407"
"GFH05874"	"HaLaN_00408"
"GFH05875"	"HaLaN_00409"
"HaLaN_00411"	"HaLaN_00410"
"GFH05876"	"HaLaN_00411"
"GFH05877"	"HaLaN_00412"
"GFH05878"	"HaLaN_00413"
"GFH05879"	"HaLaN_00414"
"GFH05880"	"HaLaN_00415"
"HaLaN_00417"	"HaLaN_00416"
"GFH05881"	"HaLaN_00417"
"GFH05882"	"HaLaN_00418"
"GFH05883"	"HaLaN_00419"
"GFH05884"	"HaLaN_00420"
"GFH05885"	"HaLaN_00421"
"HaLaN_00423"	"HaLaN_00422"
"HaLaN_00424"	"HaLaN_00423"
"GFH05886"	"HaLaN_00424"
"GFH05887"	"HaLaN_00425"
"GFH05888"	"HaLaN_00426"
"HaLaN_00428"	"HaLaN_00427"
"GFH05889"	"HaLaN_00428"
"GFH05890"	"HaLaN_00429"
"GFH05891"	"HaLaN_00430"
"GFH05892"	"HaLaN_00431"
"HaLaN_00433"	"HaLaN_00432"
"GFH05893"	"HaLaN_00433"
"HaLaN_00435"	"HaLaN_00434"
"GFH05894"	"HaLaN_00435"
"GFH05895"	"HaLaN_00436"
"GFH05896"	"HaLaN_00437"
"GFH05897"	"HaLaN_00438"
"HaLaN_00440"	"HaLaN_00439"
"GFH05898"	"HaLaN_00440"
"GFH05899"	"HaLaN_00441"
"GFH05900"	"HaLaN_00442"
"GFH05901"	"HaLaN_00443"
"GFH05902"	"HaLaN_00444"
"GFH05903"	"HaLaN_00445"
"GFH05904"	"HaLaN_00446"
"GFH05905"	"HaLaN_00447"
"GFH05906"	"HaLaN_00448"
"GFH05907"	"HaLaN_00449"
"GFH05908"	"HaLaN_00450"
"GFH05909"	"HaLaN_00451"
"GFH05910"	"HaLaN_00452"
"GFH05911"	"HaLaN_00453"
"GFH05912"	"HaLaN_00454"
"HaLaN_00456"	"HaLaN_00455"
"GFH05913"	"HaLaN_00456"
"GFH05914"	"HaLaN_00457"
"GFH05915"	"HaLaN_00458"
"GFH05916"	"HaLaN_00459"
"GFH05917"	"HaLaN_00460"
"HaLaN_00462"	"HaLaN_00461"
"GFH05918"	"HaLaN_00462"
"GFH05919"	"HaLaN_00463"
"GFH05920"	"HaLaN_00464"
"GFH05921"	"HaLaN_00465"
"GFH05922"	"HaLaN_00466"
"GFH05923"	"HaLaN_00467"
"HaLaN_00469"	"HaLaN_00468"
"GFH05924"	"HaLaN_00469"
"GFH05925"	"HaLaN_00470"
"GFH05926"	"HaLaN_00471"
"GFH05927"	"HaLaN_00472"
"GFH05928"	"HaLaN_00473"
"GFH05929"	"HaLaN_00474"
"GFH05930"	"HaLaN_00475"
"GFH05931"	"HaLaN_00476"
"GFH05932"	"HaLaN_00477"
"HaLaN_00479"	"HaLaN_00478"
"GFH05933"	"HaLaN_00479"
"GFH05934"	"HaLaN_00480"
"GFH05935"	"HaLaN_00481"
"GFH05936"	"HaLaN_00482"
"GFH05937"	"HaLaN_00483"
"HaLaN_00485"	"HaLaN_00484"
"GFH05938"	"HaLaN_00485"
"HaLaN_00487"	"HaLaN_00486"
"GFH05939"	"HaLaN_00487"
"GFH05940"	"HaLaN_00488"
"GFH05941"	"HaLaN_00489"
"GFH05942"	"HaLaN_00490"
"HaLaN_00492"	"HaLaN_00491"
"GFH05943"	"HaLaN_00492"
"GFH05944"	"HaLaN_00493"
"GFH05945"	"HaLaN_00494"
"GFH05946"	"HaLaN_00495"
"GFH05947"	"HaLaN_00496"
"HaLaN_00498"	"HaLaN_00497"
"HaLaN_00499"	"HaLaN_00498"
"GFH05948"	"HaLaN_00499"
"GFH05949"	"HaLaN_00500"
"GFH05950"	"HaLaN_00501"
"GFH05951"	"HaLaN_00502"
"GFH05952"	"HaLaN_00503"
"GFH05953"	"HaLaN_00504"
"GFH05954"	"HaLaN_00505"
"GFH05955"	"HaLaN_00506"
"GFH05956"	"HaLaN_00507"
"GFH05957"	"HaLaN_00508"
"GFH05958"	"HaLaN_00509"
"HaLaN_00511"	"HaLaN_00510"
"GFH05959"	"HaLaN_00511"
"GFH05960"	"HaLaN_00512"
"GFH05961"	"HaLaN_00513"
"GFH05962"	"HaLaN_00514"
"GFH05963"	"HaLaN_00515"
"GFH05964"	"HaLaN_00516"
"HaLaN_00518"	"HaLaN_00517"
"GFH05965"	"HaLaN_00518"
"GFH05966"	"HaLaN_00519"
"GFH05967"	"HaLaN_00520"
"GFH05968"	"HaLaN_00521"
"GFH05969"	"HaLaN_00522"
"GFH05970"	"HaLaN_00523"
"GFH05971"	"HaLaN_00524"
"GFH05972"	"HaLaN_00525"
"GFH05973"	"HaLaN_00526"
"GFH05974"	"HaLaN_00527"
"GFH05975"	"HaLaN_00528"
"HaLaN_00530"	"HaLaN_00529"
"GFH05976"	"HaLaN_00530"
"GFH05977"	"HaLaN_00531"
"GFH05978"	"HaLaN_00532"
"GFH05979"	"HaLaN_00533"
"GFH05980"	"HaLaN_00534"
"HaLaN_00536"	"HaLaN_00535"
"GFH05981"	"HaLaN_00536"
"GFH05982"	"HaLaN_00537"
"GFH05983"	"HaLaN_00538"
"GFH05984"	"HaLaN_00539"
"GFH05985"	"HaLaN_00540"
"GFH05986"	"HaLaN_00541"
"GFH05987"	"HaLaN_00542"
"GFH05988"	"HaLaN_00543"
"GFH05989"	"HaLaN_00544"
"GFH05990"	"HaLaN_00545"
"GFH05991"	"HaLaN_00546"
"GFH05992"	"HaLaN_00547"
"GFH05993"	"HaLaN_00548"
"GFH05994"	"HaLaN_00549"
"GFH05995"	"HaLaN_00550"
"GFH05996"	"HaLaN_00551"
"GFH05997"	"HaLaN_00552"
"GFH05998"	"HaLaN_00553"
"GFH05999"	"HaLaN_00554"
"HaLaN_t00006"	"HaLaN_t00006"
"GFH06000"	"HaLaN_00555"
"GFH06001"	"HaLaN_00556"
"HaLaN_t00007"	"HaLaN_00557"
"HaLaN_t00007"	"HaLaN_t00007"
"GFH06002"	"HaLaN_00558"
"GFH06003"	"HaLaN_00559"
"HaLaN_00561"	"HaLaN_00560"
"GFH06004"	"HaLaN_00561"
"GFH06005"	"HaLaN_00562"
"GFH06006"	"HaLaN_00563"
"GFH06007"	"HaLaN_00564"
"GFH06008"	"HaLaN_00565"
"HaLaN_00567"	"HaLaN_00566"
"GFH06009"	"HaLaN_00567"
"GFH06010"	"HaLaN_00568"
"GFH06011"	"HaLaN_00569"
"GFH06012"	"HaLaN_00570"
"GFH06013"	"HaLaN_00571"
"GFH06014"	"HaLaN_00572"
"GFH06015"	"HaLaN_00573"
"GFH06016"	"HaLaN_00574"
"GFH06017"	"HaLaN_00575"
"GFH06018"	"HaLaN_00576"
"HaLaN_00578"	"HaLaN_00577"
"GFH06019"	"HaLaN_00578"
"GFH06020"	"HaLaN_00579"
"GFH06021"	"HaLaN_00580"
"GFH06022"	"HaLaN_00581"
"HaLaN_00583"	"HaLaN_00582"
"GFH06023"	"HaLaN_00583"
"GFH06024"	"HaLaN_00584"
"GFH06025"	"HaLaN_00585"
"GFH06026"	"HaLaN_00586"
"GFH06027"	"HaLaN_00587"
"GFH06028"	"HaLaN_00588"
"GFH06029"	"HaLaN_00589"
"GFH06030"	"HaLaN_00590"
"HaLaN_00592"	"HaLaN_00591"
"GFH06031"	"HaLaN_00592"
"GFH06032"	"HaLaN_00593"
"GFH06033"	"HaLaN_00594"
"GFH06034"	"HaLaN_00595"
"GFH06035"	"HaLaN_00596"
"GFH06036"	"HaLaN_00597"
"GFH06037"	"HaLaN_00598"
"GFH06038"	"HaLaN_00599"
"HaLaN_00601"	"HaLaN_00600"
"HaLaN_00602"	"HaLaN_00601"
"GFH06039"	"HaLaN_00602"
"HaLaN_00604"	"HaLaN_00603"
"GFH06040"	"HaLaN_00604"
"GFH06041"	"HaLaN_00605"
"GFH06042"	"HaLaN_00606"
"GFH06043"	"HaLaN_00607"
"GFH06044"	"HaLaN_00608"
"GFH06045"	"HaLaN_00609"
"GFH06046"	"HaLaN_00610"
"GFH06047"	"HaLaN_00611"
"GFH06048"	"HaLaN_00612"
"GFH06049"	"HaLaN_00613"
"GFH06050"	"HaLaN_00614"
"GFH06051"	"HaLaN_00615"
"GFH06052"	"HaLaN_00616"
"GFH06053"	"HaLaN_00617"
"GFH06054"	"HaLaN_00618"
"GFH06055"	"HaLaN_00619"
"GFH06056"	"HaLaN_00620"
"GFH06057"	"HaLaN_00621"
"GFH06058"	"HaLaN_00622"
"GFH06059"	"HaLaN_00623"
"GFH06060"	"HaLaN_00624"
"GFH06061"	"HaLaN_00625"
"HaLaN_00627"	"HaLaN_00626"
"GFH06062"	"HaLaN_00627"
"GFH06063"	"HaLaN_00628"
"GFH06064"	"HaLaN_00629"
"HaLaN_00631"	"HaLaN_00630"
"HaLaN_00632"	"HaLaN_00631"
"GFH06065"	"HaLaN_00632"
"HaLaN_00634"	"HaLaN_00633"
"GFH06066"	"HaLaN_00634"
"GFH06067"	"HaLaN_00635"
"GFH06068"	"HaLaN_00636"
"GFH06069"	"HaLaN_00637"
"GFH06070"	"HaLaN_00638"
"GFH06071"	"HaLaN_00639"
"HaLaN_00641"	"HaLaN_00640"
"GFH06072"	"HaLaN_00641"
"GFH06073"	"HaLaN_00642"
"GFH06074"	"HaLaN_00643"
"GFH06075"	"HaLaN_00644"
"GFH06076"	"HaLaN_00645"
"GFH06077"	"HaLaN_00646"
"GFH06078"	"HaLaN_00647"
"GFH06079"	"HaLaN_00648"
"HaLaN_00650"	"HaLaN_00649"
"GFH06080"	"HaLaN_00650"
"GFH06081"	"HaLaN_00651"
"HaLaN_00653"	"HaLaN_00652"
"GFH06082"	"HaLaN_00653"
"GFH06083"	"HaLaN_00654"
"HaLaN_00656"	"HaLaN_00655"
"GFH06084"	"HaLaN_00656"
"GFH06085"	"HaLaN_00657"
"GFH06086"	"HaLaN_00658"
"GFH06087"	"HaLaN_00659"
"GFH06088"	"HaLaN_00660"
"GFH06089"	"HaLaN_00661"
"HaLaN_00663"	"HaLaN_00662"
"GFH06090"	"HaLaN_00663"
"GFH06091"	"HaLaN_00664"
"GFH06092"	"HaLaN_00665"
"GFH06093"	"HaLaN_00666"
"GFH06094"	"HaLaN_00667"
"GFH06095"	"HaLaN_00668"
"GFH06096"	"HaLaN_00669"
"GFH06097"	"HaLaN_00670"
"GFH06098"	"HaLaN_00671"
"GFH06099"	"HaLaN_00672"
"GFH06100"	"HaLaN_00673"
"GFH06101"	"HaLaN_00674"
"GFH06102"	"HaLaN_00675"
"GFH06103"	"HaLaN_00676"
"GFH06104"	"HaLaN_00677"
"GFH06105"	"HaLaN_00678"
"GFH06106"	"HaLaN_00679"
"GFH06107"	"HaLaN_00680"
"GFH06108"	"HaLaN_00681"
"HaLaN_00683"	"HaLaN_00682"
"HaLaN_00684"	"HaLaN_00683"
"GFH06109"	"HaLaN_00684"
"HaLaN_00686"	"HaLaN_00685"
"GFH06110"	"HaLaN_00686"
"GFH06111"	"HaLaN_00687"
"GFH06112"	"HaLaN_00688"
"GFH06113"	"HaLaN_00689"
"GFH06114"	"HaLaN_00690"
"HaLaN_00692"	"HaLaN_00691"
"GFH06115"	"HaLaN_00692"
"GFH06116"	"HaLaN_00693"
"GFH06117"	"HaLaN_00694"
"GFH06118"	"HaLaN_00695"
"GFH06119"	"HaLaN_00696"
"GFH06120"	"HaLaN_00697"
"GFH06121"	"HaLaN_00698"
"GFH06122"	"HaLaN_00699"
"GFH06123"	"HaLaN_00700"
"GFH06124"	"HaLaN_00701"
"GFH06125"	"HaLaN_00702"
"GFH06126"	"HaLaN_00703"
"GFH06127"	"HaLaN_00704"
"HaLaN_00706"	"HaLaN_00705"
"HaLaN_00707"	"HaLaN_00706"
"GFH06128"	"HaLaN_00707"
"GFH06129"	"HaLaN_00708"
"GFH06130"	"HaLaN_00709"
"GFH06131"	"HaLaN_00710"
